data,count,label
http://edamontology.org/data_0006,641,Data
http://edamontology.org/data_2044,313,Sequence
http://edamontology.org/data_2976,224,Protein sequence
http://edamontology.org/data_0863,182,Sequence alignment
http://edamontology.org/data_0943,133,Mass spectrum
http://edamontology.org/data_0849,126,Sequence record
http://edamontology.org/data_3498,116,Sequence variations
http://edamontology.org/data_1460,113,Protein structure
http://edamontology.org/data_2977,112,Nucleic acid sequence
http://edamontology.org/data_3494,108,DNA sequence
http://edamontology.org/data_2603,105,Expression data
http://edamontology.org/data_0924,100,Sequence trace
http://edamontology.org/data_2536,92,Mass spectrometry data
http://edamontology.org/data_3002,88,Annotation track
http://edamontology.org/data_0842,83,Identifier
http://edamontology.org/data_3495,74,RNA sequence
http://edamontology.org/data_1383,69,Nucleic acid sequence alignment
http://edamontology.org/data_2600,68,Pathway or network
http://edamontology.org/data_3021,67,UniProt accession
http://edamontology.org/data_1026,65,Gene symbol
http://edamontology.org/data_0945,62,Peptide identification
http://edamontology.org/data_2887,60,Nucleic acid sequence record
http://edamontology.org/data_3112,59,Gene expression matrix
http://edamontology.org/data_0968,58,Keyword
http://edamontology.org/data_1255,58,Sequence features
http://edamontology.org/data_2886,58,Protein sequence record
http://edamontology.org/data_3108,57,Experimental measurement
http://edamontology.org/data_2299,57,Gene name
http://edamontology.org/data_1127,54,PDB ID
http://edamontology.org/data_2974,50,Protein sequence (raw)
http://edamontology.org/data_2353,45,Ontology data
http://edamontology.org/data_2082,45,Matrix
http://edamontology.org/data_0850,44,Sequence set
http://edamontology.org/data_1234,43,Sequence set (nucleic acid)
http://edamontology.org/data_0928,41,Gene expression profile
http://edamontology.org/data_2526,40,Text data
http://edamontology.org/data_2012,37,Sequence coordinates
http://edamontology.org/data_3497,37,DNA sequence (raw)
http://edamontology.org/data_1276,36,Nucleic acid features
http://edamontology.org/data_1463,36,Small molecule structure
http://edamontology.org/data_2968,35,Image
http://edamontology.org/data_0925,34,Sequence assembly
http://edamontology.org/data_2301,32,SMILES string
http://edamontology.org/data_1045,31,Species name
http://edamontology.org/data_2975,31,Nucleic acid sequence (raw)
http://edamontology.org/data_2295,30,Gene ID
http://edamontology.org/data_1233,28,Sequence set (protein)
http://edamontology.org/data_1025,28,Gene identifier
http://edamontology.org/data_0883,27,Structure
http://edamontology.org/data_2291,25,UniProt ID
http://edamontology.org/data_1033,24,Ensembl gene ID
http://edamontology.org/data_0872,24,Phylogenetic tree
http://edamontology.org/data_1353,23,Sequence motif
http://edamontology.org/data_0944,21,Peptide mass fingerprint
http://edamontology.org/data_2048,21,Report
http://edamontology.org/data_1009,20,Protein name
http://edamontology.org/data_1364,19,Hidden Markov model
http://edamontology.org/data_3111,19,Processed microarray data
http://edamontology.org/data_1916,18,Alignment
http://edamontology.org/data_3028,18,Taxonomy
http://edamontology.org/data_0582,18,Ontology
http://edamontology.org/data_2093,18,Data reference
http://edamontology.org/data_3110,17,Raw microarray data
http://edamontology.org/data_0874,17,Comparison matrix
http://edamontology.org/data_3671,15,Text
http://edamontology.org/data_2909,14,Organism name
http://edamontology.org/data_0989,14,Protein identifier
http://edamontology.org/data_3424,13,Raw image
http://edamontology.org/data_0990,13,Compound name
http://edamontology.org/data_3483,12,Spectrum
http://edamontology.org/data_1027,12,Gene ID (NCBI)
http://edamontology.org/data_0957,12,Database metadata
http://edamontology.org/data_0950,12,Mathematical model
http://edamontology.org/data_2610,11,Ensembl ID
http://edamontology.org/data_2872,11,ID list
http://edamontology.org/data_1179,11,NCBI taxonomy ID
http://edamontology.org/data_3496,11,RNA sequence (raw)
http://edamontology.org/data_3869,11,Simulation
http://edamontology.org/data_1050,11,File name
http://edamontology.org/data_0848,11,Raw sequence
http://edamontology.org/data_1097,11,Sequence accession (nucleic acid)
http://edamontology.org/data_3736,10,Ecological data
http://edamontology.org/data_3786,10,Query script
http://edamontology.org/data_0857,10,Sequence search results
http://edamontology.org/data_1277,10,Protein features
http://edamontology.org/data_2337,10,Resource metadata
http://edamontology.org/data_1176,10,GO concept ID
http://edamontology.org/data_1384,10,Protein sequence alignment
http://edamontology.org/data_2099,10,Name
http://edamontology.org/data_2854,10,Position-specific scoring matrix
http://edamontology.org/data_3870,9,Trajectory data
http://edamontology.org/data_0916,9,Gene report
http://edamontology.org/data_2531,9,Protocol
http://edamontology.org/data_1096,9,Sequence accession (protein)
http://edamontology.org/data_0920,9,Genotype/phenotype report
http://edamontology.org/data_1017,9,Sequence range
http://edamontology.org/data_2080,8,Database search results
http://edamontology.org/data_3707,8,Biodiversity data
http://edamontology.org/data_1597,8,Codon usage table
http://edamontology.org/data_1187,8,PubMed ID
http://edamontology.org/data_2523,8,Phylogenetic data
http://edamontology.org/data_1193,8,Tool name (FASTA)
http://edamontology.org/data_2091,7,Accession
http://edamontology.org/data_1274,7,Map
http://edamontology.org/data_2877,7,Protein complex
http://edamontology.org/data_2764,7,Protein name (UniProt)
http://edamontology.org/data_2367,7,ASTD ID
http://edamontology.org/data_1893,7,Locus ID
http://edamontology.org/data_1904,7,Locus ID (EntrezGene)
http://edamontology.org/data_3117,7,Microarray hybridisation data
