data,count,label
http://edamontology.org/data_0006,1080,Data
http://edamontology.org/data_0581,1,Database
http://edamontology.org/data_0582,24,Ontology
http://edamontology.org/data_0842,106,Identifier
http://edamontology.org/data_0844,10,Molecular mass
http://edamontology.org/data_0845,1,Molecular charge
http://edamontology.org/data_0846,9,Chemical formula
http://edamontology.org/data_0848,12,Raw sequence
http://edamontology.org/data_0849,193,Sequence record
http://edamontology.org/data_0850,68,Sequence set
http://edamontology.org/data_0857,79,Sequence search results
http://edamontology.org/data_0858,15,Sequence signature matches
http://edamontology.org/data_0860,2,Sequence signature data
http://edamontology.org/data_0862,13,Dotplot
http://edamontology.org/data_0863,314,Sequence alignment
http://edamontology.org/data_0865,2,Sequence similarity score
http://edamontology.org/data_0867,16,Sequence alignment report
http://edamontology.org/data_0868,2,Profile-profile alignment
http://edamontology.org/data_0869,6,Sequence-profile alignment
http://edamontology.org/data_0870,7,Sequence distance matrix
http://edamontology.org/data_0872,71,Phylogenetic tree
http://edamontology.org/data_0874,18,Comparison matrix
http://edamontology.org/data_0880,13,RNA secondary structure
http://edamontology.org/data_0881,2,RNA secondary structure alignment
http://edamontology.org/data_0883,43,Structure
http://edamontology.org/data_0886,3,Structure alignment
http://edamontology.org/data_0888,3,Structure similarity score
http://edamontology.org/data_0889,12,Structural profile
http://edamontology.org/data_0890,2,Structural (3D) profile alignment
http://edamontology.org/data_0893,5,Sequence-structure alignment
http://edamontology.org/data_0896,52,Protein report
http://edamontology.org/data_0897,13,Protein property
http://edamontology.org/data_0905,7,Protein interaction raw data
http://edamontology.org/data_0906,39,Protein interaction data
http://edamontology.org/data_0907,24,Protein family report
http://edamontology.org/data_0912,6,Nucleic acid property
http://edamontology.org/data_0914,4,Codon usage data
http://edamontology.org/data_0916,109,Gene report
http://edamontology.org/data_0919,3,Chromosome report
http://edamontology.org/data_0920,27,Genotype/phenotype report
http://edamontology.org/data_0924,135,Sequence trace
http://edamontology.org/data_0925,53,Sequence assembly
http://edamontology.org/data_0928,57,Gene expression profile
http://edamontology.org/data_0937,3,Electron density map
http://edamontology.org/data_0938,1,Raw NMR data
http://edamontology.org/data_0940,2,Volume map
http://edamontology.org/data_0942,4,2D PAGE image
http://edamontology.org/data_0943,181,Mass spectrum
http://edamontology.org/data_0944,42,Peptide mass fingerprint
http://edamontology.org/data_0945,122,Peptide identification
http://edamontology.org/data_0949,6,Workflow metadata
http://edamontology.org/data_0950,34,Mathematical model
http://edamontology.org/data_0951,29,Statistical estimate score
http://edamontology.org/data_0953,2,Version information
http://edamontology.org/data_0954,10,Database cross-mapping
http://edamontology.org/data_0955,12,Data index
http://edamontology.org/data_0957,33,Database metadata
http://edamontology.org/data_0958,15,Tool metadata
http://edamontology.org/data_0960,1,User metadata
http://edamontology.org/data_0962,19,Small molecule report
http://edamontology.org/data_0963,9,Cell line report
http://edamontology.org/data_0966,12,Ontology term
http://edamontology.org/data_0967,2,Ontology concept data
http://edamontology.org/data_0968,58,Keyword
http://edamontology.org/data_0970,1,Citation
http://edamontology.org/data_0971,3,Article
http://edamontology.org/data_0972,5,Text mining report
http://edamontology.org/data_0976,5,Identifier (by type of entity)
http://edamontology.org/data_0977,3,Tool identifier
http://edamontology.org/data_0982,4,Molecule identifier
http://edamontology.org/data_0984,7,Molecule name
http://edamontology.org/data_0987,3,Chromosome name
http://edamontology.org/data_0988,1,Peptide identifier
http://edamontology.org/data_0989,18,Protein identifier
http://edamontology.org/data_0990,15,Compound name
http://edamontology.org/data_0993,1,Drug identifier
http://edamontology.org/data_1001,2,Chemical name (synonymous)
http://edamontology.org/data_1005,1,HET group name
http://edamontology.org/data_1008,4,Polypeptide chain ID
http://edamontology.org/data_1009,21,Protein name
http://edamontology.org/data_1011,7,EC number
http://edamontology.org/data_1012,2,Enzyme name
http://edamontology.org/data_1016,5,Sequence position
http://edamontology.org/data_1017,15,Sequence range
http://edamontology.org/data_1022,2,Sequence feature label
http://edamontology.org/data_1025,32,Gene identifier
http://edamontology.org/data_1026,66,Gene symbol
http://edamontology.org/data_1027,14,Gene ID (NCBI)
http://edamontology.org/data_1033,25,Ensembl gene ID
http://edamontology.org/data_1039,1,SCOP domain identifier
