format,count,label
http://edamontology.org/format_1196,18,SMILES
http://edamontology.org/format_1197,1,InChI
http://edamontology.org/format_1199,1,InChIKey
http://edamontology.org/format_1207,5,nucleotide
http://edamontology.org/format_1208,14,protein
http://edamontology.org/format_1209,2,consensus
http://edamontology.org/format_1210,4,pure nucleotide
http://edamontology.org/format_1211,3,unambiguous pure nucleotide
http://edamontology.org/format_1212,6,dna
http://edamontology.org/format_1213,5,rna
http://edamontology.org/format_1214,1,unambiguous pure dna
http://edamontology.org/format_1215,1,pure dna
http://edamontology.org/format_1216,1,unambiguous pure rna sequence
http://edamontology.org/format_1218,2,unambiguous pure protein
http://edamontology.org/format_1219,2,pure protein
http://edamontology.org/format_1332,5,FASTA search results format
http://edamontology.org/format_1333,12,BLAST results
http://edamontology.org/format_1360,28,meme-motif
http://edamontology.org/format_1367,5,JASPAR format
http://edamontology.org/format_1369,1,MEME background Markov model
http://edamontology.org/format_1370,2,HMMER format
http://edamontology.org/format_1419,1,Sequence-MEME profile alignment
http://edamontology.org/format_1421,1,HMMER profile alignment (sequences versus HMMs)
http://edamontology.org/format_1422,1,HMMER profile alignment (HMM versus sequences)
http://edamontology.org/format_1423,4,Phylip distance matrix
http://edamontology.org/format_1433,1,Phylip discrete states format
http://edamontology.org/format_1435,1,Phylip tree format
http://edamontology.org/format_1445,1,Phylip tree distance format
http://edamontology.org/format_1454,2,dssp
http://edamontology.org/format_1457,7,Dot-bracket format
http://edamontology.org/format_1475,6,PDB database entry format
http://edamontology.org/format_1476,236,PDB
http://edamontology.org/format_1477,23,mmCIF
http://edamontology.org/format_1628,3,ABI
http://edamontology.org/format_1632,2,SCF
http://edamontology.org/format_1637,19,dat
http://edamontology.org/format_1638,16,cel
http://edamontology.org/format_1639,5,affymetrix
http://edamontology.org/format_1705,1,HET group dictionary entry format
http://edamontology.org/format_1910,40,newick
http://edamontology.org/format_1912,19,Nexus format
http://edamontology.org/format_1915,31,Format
http://edamontology.org/format_1919,20,Sequence record format
http://edamontology.org/format_1920,18,Sequence feature annotation format
http://edamontology.org/format_1921,17,Alignment format
http://edamontology.org/format_1925,8,codata
http://edamontology.org/format_1926,1,dbid
http://edamontology.org/format_1927,25,EMBL format
http://edamontology.org/format_1929,990,FASTA
http://edamontology.org/format_1930,229,FASTQ
http://edamontology.org/format_1931,46,FASTQ-illumina
http://edamontology.org/format_1932,46,FASTQ-sanger
http://edamontology.org/format_1933,17,FASTQ-solexa
http://edamontology.org/format_1934,1,fitch program
http://edamontology.org/format_1935,6,GCG
http://edamontology.org/format_1936,29,GenBank format
http://edamontology.org/format_1938,1,GFF2-seq
http://edamontology.org/format_1939,4,GFF3-seq
http://edamontology.org/format_1940,1,giFASTA format
http://edamontology.org/format_1942,7,ig
http://edamontology.org/format_1947,4,GCG MSF
http://edamontology.org/format_1948,13,nbrf/pir
http://edamontology.org/format_1949,2,nexus-seq
http://edamontology.org/format_1954,5,Pearson format
http://edamontology.org/format_1957,24,raw
http://edamontology.org/format_1958,1,refseqp
http://edamontology.org/format_1961,7,Stockholm format
http://edamontology.org/format_1962,2,strider format
http://edamontology.org/format_1963,12,UniProtKB format
http://edamontology.org/format_1964,54,plain text format (unformatted)
http://edamontology.org/format_1966,3,ASN.1 sequence format
http://edamontology.org/format_1973,1,nexusnon
http://edamontology.org/format_1974,1,GFF2
http://edamontology.org/format_1975,113,GFF3
http://edamontology.org/format_1978,1,DASGFF
http://edamontology.org/format_1982,30,ClustalW format
http://edamontology.org/format_1984,19,FASTA-aln
http://edamontology.org/format_1991,1,mega
http://edamontology.org/format_1996,1,pair
http://edamontology.org/format_1997,19,PHYLIP format
http://edamontology.org/format_1998,3,PHYLIP sequential
http://edamontology.org/format_1999,2,scores format
http://edamontology.org/format_2000,1,selex
http://edamontology.org/format_2006,7,Phylogenetic tree format
http://edamontology.org/format_2013,24,Biological pathway or network format
http://edamontology.org/format_2020,3,Article format
http://edamontology.org/format_2031,5,Gene annotation format
http://edamontology.org/format_2032,24,Workflow format
http://edamontology.org/format_2033,12,Tertiary structure format
http://edamontology.org/format_2035,7,Chemical formula format
http://edamontology.org/format_2049,1,Phylogenetic tree report (tree distances) format
http://edamontology.org/format_2054,2,Protein interaction format
http://edamontology.org/format_2055,1,Sequence assembly format
http://edamontology.org/format_2056,6,Microarray experiment data format
http://edamontology.org/format_2058,45,Gene expression report format
http://edamontology.org/format_2060,14,Map format
http://edamontology.org/format_2061,3,Nucleic acid features (primers) format
http://edamontology.org/format_2062,6,Protein report format
http://edamontology.org/format_2064,2,3D-1D scoring matrix format
http://edamontology.org/format_2065,2,Protein structure report (quality evaluation) format
http://edamontology.org/format_2066,4,Database hits (sequence) format
http://edamontology.org/format_2067,1,Sequence distance matrix format
http://edamontology.org/format_2068,4,Sequence motif format
http://edamontology.org/format_2069,6,Sequence profile format
http://edamontology.org/format_2072,2,Hidden Markov model format
http://edamontology.org/format_2076,1,RNA secondary structure format
