,operation,label,count
0,http://edamontology.org/operation_0306,Text mining,239
1,http://edamontology.org/operation_3431,Deposition,821
2,http://edamontology.org/operation_3196,Genotyping,1408
3,http://edamontology.org/operation_3202,Polymorphism detection,91
4,http://edamontology.org/operation_2944,Physical mapping,27
5,http://edamontology.org/operation_2121,Sequence file editing,13
6,http://edamontology.org/operation_3282,ID mapping,63
7,http://edamontology.org/operation_3504,Variant pattern analysis,21
8,http://edamontology.org/operation_0335,Formatting,493
9,http://edamontology.org/operation_2479,Protein sequence analysis,493
10,http://edamontology.org/operation_2575,Binding site prediction,253
11,http://edamontology.org/operation_0310,Sequence assembly,652
12,http://edamontology.org/operation_3192,Sequence trimming,523
13,http://edamontology.org/operation_3460,Taxonomic classification,244
14,http://edamontology.org/operation_2454,Gene prediction,309
15,http://edamontology.org/operation_3840,Multilocus sequence typing,60
16,http://edamontology.org/operation_2428,Validation,464
17,http://edamontology.org/operation_3283,Anonymisation,81
18,http://edamontology.org/operation_3503,Incident curve plotting,94
19,http://edamontology.org/operation_0337,Visualisation,2193
20,http://edamontology.org/operation_3227,Variant calling,800
21,http://edamontology.org/operation_0524,De-novo assembly,271
22,http://edamontology.org/operation_3436,Aggregation,616
23,http://edamontology.org/operation_3472,k-mer counting,203
24,http://edamontology.org/operation_2403,Sequence analysis,395
25,http://edamontology.org/operation_2426,Modelling and simulation,542
26,http://edamontology.org/operation_0324,Phylogenetic analysis,168
27,http://edamontology.org/operation_0276,Protein interaction network analysis,121
28,http://edamontology.org/operation_0313,Expression profile clustering,212
29,http://edamontology.org/operation_3197,Genetic variation analysis,338
30,http://edamontology.org/operation_3225,Variant classification,165
31,http://edamontology.org/operation_2486,Topology diagram drawing,6
32,http://edamontology.org/operation_0267,Protein secondary structure prediction,349
33,http://edamontology.org/operation_0319,Protein secondary structure assignment,26
34,http://edamontology.org/operation_2488,Protein secondary structure comparison,109
35,http://edamontology.org/operation_3443,Image analysis,876
36,http://edamontology.org/operation_3860,Spectrum calculation,94
37,http://edamontology.org/operation_0224,Query and retrieval,1057
38,http://edamontology.org/operation_0468,Protein secondary structure prediction (helices),23
39,http://edamontology.org/operation_0470,Protein secondary structure prediction (coils),55
40,http://edamontology.org/operation_0570,Structure visualisation,231
41,http://edamontology.org/operation_2421,Database search,1151
42,http://edamontology.org/operation_3435,Standardisation and normalisation,1641
43,http://edamontology.org/operation_3557,Imputation,387
44,http://edamontology.org/operation_2422,Data retrieval,1389
45,http://edamontology.org/operation_0484,SNP detection,312
46,http://edamontology.org/operation_3936,Feature selection,154
47,http://edamontology.org/operation_3937,Feature extraction,251
48,http://edamontology.org/operation_0232,Sequence merging,88
49,http://edamontology.org/operation_3198,Read mapping,422
50,http://edamontology.org/operation_3258,Transcriptome assembly,105
51,http://edamontology.org/operation_3695,Filtering,460
52,http://edamontology.org/operation_0362,Genome annotation,325
53,http://edamontology.org/operation_0430,CpG island and isochore detection,33
54,http://edamontology.org/operation_3461,Virulence prediction,172
55,http://edamontology.org/operation_2942,Treemap visualisation,21
56,http://edamontology.org/operation_3223,Differential gene expression profiling,644
57,http://edamontology.org/operation_0321,Protein structure validation,178
58,http://edamontology.org/operation_0480,Side chain modelling,94
59,http://edamontology.org/operation_3432,Clustering,854
60,http://edamontology.org/operation_0320,Protein structure assignment,60
61,http://edamontology.org/operation_3208,Genome visualisation,237
62,http://edamontology.org/operation_3450,Neurite measurement,49
63,http://edamontology.org/operation_3629,Deisotoping,276
64,http://edamontology.org/operation_0250,Protein property calculation,113
65,http://edamontology.org/operation_0531,Heat map generation,78
66,http://edamontology.org/operation_2935,Clustering profile plotting,6
67,http://edamontology.org/operation_3563,RNA-seq read count analysis,38
68,http://edamontology.org/operation_2943,Box-Whisker plot plotting,26
69,http://edamontology.org/operation_3232,Gene expression QTL analysis,129
70,http://edamontology.org/operation_3799,Quantification,963
71,http://edamontology.org/operation_3731,Sample comparison,49
72,http://edamontology.org/operation_0331,Variant effect prediction,236
73,http://edamontology.org/operation_3501,Enrichment analysis,655
74,http://edamontology.org/operation_3552,Microscope image visualisation,107
75,http://edamontology.org/operation_2481,Nucleic acid structure analysis,34
76,http://edamontology.org/operation_2476,Molecular dynamics,409
77,http://edamontology.org/operation_0525,Genome assembly,327
78,http://edamontology.org/operation_3216,Scaffolding,411
79,http://edamontology.org/operation_2406,Protein structure analysis,156
80,http://edamontology.org/operation_2414,Protein function analysis,33
81,http://edamontology.org/operation_3646,Peptide database search,90
82,http://edamontology.org/operation_2997,Protein comparison,14
83,http://edamontology.org/operation_0478,Molecular docking,232
84,http://edamontology.org/operation_3561,Database comparison,33
85,http://edamontology.org/operation_0474,Protein structure prediction,338
86,http://edamontology.org/operation_0477,Protein modelling,362
87,http://edamontology.org/operation_2487,Protein structure comparison,71
88,http://edamontology.org/operation_0481,Loop modelling,51
89,http://edamontology.org/operation_0268,Protein super-secondary structure prediction,15
90,http://edamontology.org/operation_0407,Protein hydrophobic moment plotting,11
91,http://edamontology.org/operation_2492,Protein interaction prediction,332
92,http://edamontology.org/operation_0297,3D profile generation,17
93,http://edamontology.org/operation_0245,Structural motif discovery,86
94,http://edamontology.org/operation_0303,Fold recognition,387
95,http://edamontology.org/operation_3659,Regression analysis,979
96,http://edamontology.org/operation_0264,Alternative splicing prediction,126
97,http://edamontology.org/operation_2939,Principal component visualisation,238
98,http://edamontology.org/operation_3680,RNA-Seq analysis,233
99,http://edamontology.org/operation_3800,RNA-Seq quantification,194
100,http://edamontology.org/operation_3755,PTM localisation,124
101,http://edamontology.org/operation_3351,Molecular surface analysis,20
102,http://edamontology.org/operation_3666,Molecular surface comparison,10
103,http://edamontology.org/operation_0278,RNA secondary structure prediction,216
104,http://edamontology.org/operation_0502,RNA secondary structure alignment,102
105,http://edamontology.org/operation_2441,RNA structure prediction,114
106,http://edamontology.org/operation_0564,Sequence visualisation,172
107,http://edamontology.org/operation_3553,Image annotation,143
108,http://edamontology.org/operation_0295,Structure alignment,86
109,http://edamontology.org/operation_0504,Multiple structure alignment,22
110,http://edamontology.org/operation_3222,Peak calling,271
111,http://edamontology.org/operation_3457,Single particle analysis,35
112,http://edamontology.org/operation_3663,Homology-based gene prediction,67
113,http://edamontology.org/operation_3767,Protein identification,207
114,http://edamontology.org/operation_0475,Nucleic acid structure prediction,60
115,http://edamontology.org/operation_2483,Structure comparison,26
116,http://edamontology.org/operation_3927,Network analysis,619
117,http://edamontology.org/operation_3625,Relation extraction,111
118,http://edamontology.org/operation_4009,Small molecule design,247
119,http://edamontology.org/operation_2949,Protein-protein interaction analysis,96
120,http://edamontology.org/operation_3350,Protein quaternary structure prediction,16
121,http://edamontology.org/operation_0246,Protein domain recognition,37
122,http://edamontology.org/operation_0248,Residue interaction calculation,19
123,http://edamontology.org/operation_2429,Mapping,444
124,http://edamontology.org/operation_0482,Protein-ligand docking,157
125,http://edamontology.org/operation_0448,Sequence alignment analysis (conservation),48
126,http://edamontology.org/operation_0322,Molecular model refinement,51
127,http://edamontology.org/operation_0339,Structure database search,29
128,http://edamontology.org/operation_0360,Structural similarity search,60
129,http://edamontology.org/operation_2442,DNA structure prediction,19
130,http://edamontology.org/operation_0279,Nucleic acid folding analysis,54
131,http://edamontology.org/operation_3891,Essential dynamics,937
132,http://edamontology.org/operation_3083,Pathway or network visualisation,200
133,http://edamontology.org/operation_3890,Trajectory visualization,42
134,http://edamontology.org/operation_3661,SNP annotation,127
135,http://edamontology.org/operation_0314,Gene expression profiling,674
136,http://edamontology.org/operation_0389,Protein-nucleic acid interaction analysis,16
137,http://edamontology.org/operation_0445,Transcription factor binding site prediction,200
138,http://edamontology.org/operation_0282,Genetic mapping,228
139,http://edamontology.org/operation_0283,Linkage analysis,62
140,http://edamontology.org/operation_3096,Editing,336
141,http://edamontology.org/operation_0491,Pairwise sequence alignment,138
142,http://edamontology.org/operation_0249,Protein geometry calculation,51
143,http://edamontology.org/operation_0252,Peptide immunogenicity prediction,191
144,http://edamontology.org/operation_0416,Epitope mapping,176
145,http://edamontology.org/operation_3454,Phasing,422
146,http://edamontology.org/operation_0238,Sequence motif discovery,165
147,http://edamontology.org/operation_2404,Sequence motif analysis,28
148,http://edamontology.org/operation_0239,Sequence motif recognition,237
149,http://edamontology.org/operation_0240,Sequence motif comparison,33
150,http://edamontology.org/operation_2937,Proximity map plotting,13
151,http://edamontology.org/operation_3463,Expression correlation analysis,356
152,http://edamontology.org/operation_3766,Weighted correlation network analysis,113
153,http://edamontology.org/operation_3797,Rarefaction,22
154,http://edamontology.org/operation_3434,Conversion,35
155,http://edamontology.org/operation_2478,Nucleic acid sequence analysis,172
156,http://edamontology.org/operation_0387,Molecular surface calculation,66
157,http://edamontology.org/operation_0417,Post-translational modification site prediction,386
158,http://edamontology.org/operation_3565,RNA-seq time series data analysis,35
