,topic,label,count
0,http://edamontology.org/topic_3474,Machine learning,3050
1,http://edamontology.org/topic_0602,"Molecular interactions, pathways and networks",2717
2,http://edamontology.org/topic_0203,Gene expression,2665
3,http://edamontology.org/topic_0154,Small molecules,2427
4,http://edamontology.org/topic_3170,RNA-Seq,2341
5,http://edamontology.org/topic_0080,Sequence analysis,2220
6,http://edamontology.org/topic_3168,Sequencing,2165
7,http://edamontology.org/topic_0625,Genotype and phenotype,1678
8,http://edamontology.org/topic_0121,Proteomics,1672
9,http://edamontology.org/topic_3512,Gene transcripts,1609
10,http://edamontology.org/topic_0102,Mapping,1599
11,http://edamontology.org/topic_0622,Genomics,1549
12,http://edamontology.org/topic_2640,Oncology,1523
13,http://edamontology.org/topic_0749,Transcription factors and regulatory sites,1429
14,http://edamontology.org/topic_0769,Workflows,1420
15,http://edamontology.org/topic_0199,Genetic variation,1407
16,http://edamontology.org/topic_3382,Imaging,1388
17,http://edamontology.org/topic_3308,Transcriptomics,1292
18,http://edamontology.org/topic_0634,Pathology,1273
19,http://edamontology.org/topic_0654,DNA,1272
20,http://edamontology.org/topic_2269,Statistics and probability,1241
21,http://edamontology.org/topic_0621,Model organisms,1220
22,http://edamontology.org/topic_0659,"Functional, regulatory and non-coding RNA",1215
23,http://edamontology.org/topic_2229,Cell biology,1196
24,http://edamontology.org/topic_0078,Proteins,1138
25,http://edamontology.org/topic_0196,Sequence assembly,1124
26,http://edamontology.org/topic_2885,DNA polymorphism,1107
27,http://edamontology.org/topic_3053,Genetics,1107
28,http://edamontology.org/topic_3520,Proteomics experiment,982
29,http://edamontology.org/topic_0128,Protein interactions,933
30,http://edamontology.org/topic_3518,Microarray experiment,926
31,http://edamontology.org/topic_0099,RNA,835
32,http://edamontology.org/topic_3174,Metagenomics,808
33,http://edamontology.org/topic_0780,Plant biology,772
34,http://edamontology.org/topic_0082,Structure prediction,739
35,http://edamontology.org/topic_2275,Molecular modelling,696
36,http://edamontology.org/topic_3293,Phylogenetics,693
37,http://edamontology.org/topic_3071,Data management,685
38,http://edamontology.org/topic_3295,Epigenetics,676
39,http://edamontology.org/topic_0160,"Sequence sites, features and motifs",614
40,http://edamontology.org/topic_3172,Metabolomics,598
41,http://edamontology.org/topic_0092,Data visualisation,597
42,http://edamontology.org/topic_2814,Protein structure analysis,589
43,http://edamontology.org/topic_0089,Ontology and terminology,580
44,http://edamontology.org/topic_0736,Protein folds and structural domains,576
45,http://edamontology.org/topic_0091,Bioinformatics,573
46,http://edamontology.org/topic_3517,GWAS study,555
47,http://edamontology.org/topic_2259,Systems biology,536
48,http://edamontology.org/topic_3068,Literature and language,530
49,http://edamontology.org/topic_3360,Biomarkers,528
50,http://edamontology.org/topic_3169,ChIP-seq,525
51,http://edamontology.org/topic_3673,Whole genome sequencing,522
52,http://edamontology.org/topic_3336,Drug discovery,481
53,http://edamontology.org/topic_3500,Zoology,480
54,http://edamontology.org/topic_0097,Nucleic acid structure analysis,479
55,http://edamontology.org/topic_3070,Biology,475
56,http://edamontology.org/topic_3384,Medical imaging,466
57,http://edamontology.org/topic_3407,Endocrinology and metabolism,456
58,http://edamontology.org/topic_3305,Public health and epidemiology,454
59,http://edamontology.org/topic_0084,Phylogeny,447
60,http://edamontology.org/topic_3697,Microbial ecology,434
61,http://edamontology.org/topic_0632,Probes and primers,421
62,http://edamontology.org/topic_3315,Mathematics,414
63,http://edamontology.org/topic_0623,Gene and protein families,413
64,http://edamontology.org/topic_3344,Biomedical science,401
65,http://edamontology.org/topic_2830,Immunoproteins and antigens,371
66,http://edamontology.org/topic_3047,Molecular biology,362
67,http://edamontology.org/topic_3676,Exome sequencing,353
68,http://edamontology.org/topic_3299,Evolutionary biology,351
69,http://edamontology.org/topic_3304,Neurobiology,349
70,http://edamontology.org/topic_0166,Protein structural motifs and surfaces,345
71,http://edamontology.org/topic_3444,MRI,344
72,http://edamontology.org/topic_3307,Computational biology,343
73,http://edamontology.org/topic_3173,Epigenomics,340
74,http://edamontology.org/topic_0108,Protein expression,338
75,http://edamontology.org/topic_0081,Structure analysis,334
76,http://edamontology.org/topic_3320,RNA splicing,327
77,http://edamontology.org/topic_0176,Molecular dynamics,327
78,http://edamontology.org/topic_0130,"Protein folding, stability and design",321
